game_id,player_id,Player,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
6,9.0,Mal Graham,2,1-1,0-0,0-0,0,0,0,0,0,0,0,1,2
6,12.0,Peter Capan,16,1-5,1-3,0-0,0,1,1,0,2,0,1,0,3
6,13.0,David Nwankwo,8,0-3,0-1,1-4,2,3,5,0,0,0,0,0,1
6,14.0,Frank Pena,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
6,15.0,Jordan Price,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
6,16.0,Can Dalli,17,2-7,1-5,0-1,1,2,3,1,0,0,1,0,5
6,17.0,BJ Smith,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
6,19.0,Jon Perry,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
6,20.0,Alex Miller,6,1-4,0-0,2-3,3,1,4,1,0,0,2,2,4
7,8.0,Liech Kong,21,1-5,0-0,0-0,1,3,4,0,1,1,2,2,2
7,2.0,Onterio Miller,15,0-3,0-1,0-0,0,2,2,0,0,0,1,0,0
7,3.0,Darrell Green,26,3-9,0-4,1-2,1,7,8,1,3,0,4,2,7
7,6.0,Jaden Workman,23,6-6,1-1,0-0,0,2,2,3,2,0,1,3,13
7,11.0,Jacob Morgan,31,6-8,0-2,2-2,1,7,8,4,1,0,4,0,14
7,1.0,Brandon Joseph,7,1-2,0-0,0-0,1,3,4,0,0,1,1,1,2
7,5.0,Thomas Lewis,6,0-1,0-1,0-0,0,0,0,1,0,0,0,1,0
7,7.0,Josiah Gregg,4,1-3,0-0,0-0,0,0,0,0,0,0,1,1,2
7,9.0,Mal Graham,2,1-1,0-0,0-0,0,0,0,0,0,0,0,1,2
7,,Darnell Morris Jr.,17,2-4,1-2,2-4,0,2,2,0,0,0,2,0,7
7,12.0,Peter Capan,7,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0
7,13.0,David Nwankwo,5,0-1,0-0,0-0,0,1,1,0,1,0,0,0,0
7,14.0,Frank Pena,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
7,15.0,Jordan Price,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
7,16.0,Can Dalli,18,5-9,3-7,1-1,0,1,1,1,1,0,0,2,14
7,17.0,BJ Smith,1,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
7,18.0,Stefan Macakanja,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
7,19.0,Jon Perry,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
7,20.0,Alex Miller,11,2-2,0-0,1-2,2,2,4,0,0,0,0,3,5
8,8.0,Liech Kong,21,2-5,0-2,0-0,1,2,3,3,2,1,3,1,4
8,2.0,Onterio Miller,30,5-11,4-8,0-0,5,4,9,0,0,0,1,0,14
8,3.0,Darrell Green,25,0-2,0-1,0-0,0,6,6,3,0,0,5,2,0
8,6.0,Jaden Workman,28,1-5,1-1,5-6,2,1,3,4,0,0,2,2,8
8,11.0,Jacob Morgan,25,1-3,0-0,1-5,0,2,2,2,0,0,1,4,3
8,1.0,Brandon Joseph,9,1-3,0-0,0-0,2,2,4,1,0,0,2,2,2
8,5.0,Thomas Lewis,4,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0
