game_id,Player,Player_and_number,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
4,Darnell Morris Jr.,G20Darnell Morris Jr.,7,0-2,0-0,0-0,1,2,3,0,1,0,0,0,0
4,Jordan Price,G31Jordan Price,13,"""2-4""",0-1,0-0,0,1,1,0,0,0,1,0,4
4,BJ Smith,G40BJ Smith,11,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
4,TEAM,TMTEAM,,,,,0,2,2,,,,1,0,
4,TALS,TOTALS,,20-56,"""5-19""","""6-8""",4,24,28,7,3,2,8,12,51
4,,,,35.70%,26.30%,75.00%,,,,,,,,,
5,ARTERS,STARTERS,,,,,,,,,,,,,
5,Liech Kong,F14Liech Kong,32,"""5-8""",0-2,"""2-5""",2,7,9,2,0,3,0,4,12
5,Onterio Miller,G01Onterio Miller,30,"""2-6""","""1-3""","""2-2""",3,3,6,1,0,0,4,1,7
5,Darrell Green,G02Darrell Green,23,"""7-13""","""3-6""",0-1,2,3,5,0,0,0,0,5,17
5,Jaden Workman,G11Jaden Workman,23,"""1-5""",0-0,"""3-4""",0,1,1,1,0,0,2,3,5
5,Jacob Morgan,G21Jacob Morgan,37,"""7-12""",0-1,"""6-7""",0,4,4,4,5,0,4,1,20
5,SERVES,RESERVES,,,,,,,,,,,,,
5,Brandon Joseph,F00Brandon Joseph,18,"""2-6""",0-0,0-0,2,0,2,0,1,0,2,3,4
5,Mal Graham,G15Mal Graham,5,0-0,0-0,0-0,0,0,0,1,0,0,1,1,0
5,Darnell Morris Jr.,G20Darnell Morris Jr.,18,"""4-6""",0-1,"""3-3""",3,1,4,0,1,0,3,4,11
5,Jordan Price,G31Jordan Price,5,"""1-3""",0-1,0-0,0,0,0,0,0,0,1,0,2
5,BJ Smith,G40BJ Smith,0,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
5,Alex Miller,F45Alex Miller,9,"""2-3""",0-0,0-0,1,0,1,0,0,0,0,0,4
5,TEAM,TMTEAM,,,,,2,2,4,,,,0,0,
5,TALS,TOTALS,,31-62,14-Apr,16-22,15,22,37,9,7,3,17,22,82
5,,,,50.00%,28.60%,72.70%,,,,,,,,,
6,ARTERS,STARTERS,,,,,,,,,,,,,
6,Liech Kong,f14Liech Kong,31,"""6-16""","""2-5""","""1-2""",2,11,13,1,1,3,2,5,15
6,Onterio Miller,g01Onterio Miller,19,0-5,0-3,"""2-2""",0,0,0,0,1,0,0,0,2
6,Darrell Green,g02Darrell Green,24,"""2-7""",0-2,0-2,2,6,8,2,1,0,1,1,4
6,Jaden Workman,g11Jaden Workman,23,"""1-4""","""1-1""",0-0,2,0,2,0,2,0,4,3,3
6,Jacob Morgan,g21Jacob Morgan,29,"""6-14""",0-1,"""3-3""",0,4,4,2,1,0,3,3,15
6,SERVES,RESERVES,,,,,,,,,,,,,
6,Brandon Joseph,00Brandon Joseph,6,0-0,0-0,"""1-2""",1,0,1,0,0,1,2,0,1
6,Thomas Lewis,05Thomas Lewis,12,0-2,0-2,0-0,0,0,0,0,0,0,2,2,0
6,Josiah Gregg,12Josiah Gregg,2,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
6,Mal Graham,15Mal Graham,2,"""1-1""",0-0,0-0,0,0,0,0,0,0,0,1,2
6,Peter Capan,22Peter Capan,16,"""1-5""","""1-3""",0-0,0,1,1,0,2,0,1,0,3
