Player,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
STARTERS,,,,,,,,,,,,,
F45Alex Miller,17,2-3,"""0-0""","""0-0""",2,2,4,1,0,2,0,1,4
G01Onterio Miller,22,3-4,"""0-1""","""0-0""",0,2,2,2,1,0,1,1,4
G02Darrell Green,28,"""3-7""","""0-3""","""2-2""",1,1,2,0,1,0,0,1,8
G21Jacob Morgan,35,"""5-14""","""1-2""","""0-0""",0,5,5,6,3,1,5,2,11
G32Can Dalli,28,"""5-11""","""3-7""","""0-0""",0,1,1,1,2,0,2,1,13
RESERVES,,,,,,,,,,,,,
F00Brandon Joseph,22,"""4-8""","""0-0""","""1-4""",3,8,11,0,0,1,0,1,9
F14Liech Kong,20,"""5-7""","""4-5""","""0-0""",1,2,3,2,0,3,5,4,14
G15Mal Graham,2,"""0-1""","""0-0""","""0-0""",0,0,0,0,2,0,0,1,0
G20Darnell Morris Jr.,15,"""0-1""","""0-0""","""2-2""",0,4,4,2,0,0,3,0,2
G22Peter Capan,3,"""0-0""","""0-0""","""0-0""",0,0,0,1,0,0,1,0,0
G31Jordan Price,8,"""0-2""","""0-1""","""1-2""",0,1,1,0,1,0,2,1,1
TMTEAM,,,,,2,1,3,,,,1,0,
TOTALS,,26-60,"""8-19""","""6-10""",9,27,36,15,10,7,20,13,66
,,43.30%,42.10%,60.00%,,,,,,,,,
